codigo;descricao;descricaoResumida;grupo;qtdEstoque;unidade;valor
24;Cuccaro Vetere;Xena N. Kane;Dakota;7;KG;2
5;Richmond;Marcia A. Colon;Fallon;9;KG;6
90;Sant'Eusanio Forconese;Ariel K. Everett;Alfreda;9;KG;10
11;Colorado Springs;Roth B. Young;Autumn;9;KG;1
1;Calera;Byron B. Kirk;Sandra;8;KG;9
43;Roux-Miroir;Honorato X. Meadows;Lynn;6;KG;1
77;Columbia;Erasmus N. Schneider;Pandora;2;KG;7
21;Qu�bec City;Stephen S. Sanchez;Wynter;3;KG;1
83;Sant'Angelo a Cupolo;Minerva K. Love;Clio;5;KG;7
70;Van;Jack T. Stanley;Jana;6;KG;4
11;Balvano;Wallace G. Romero;Desiree;8;KG;3
1;Aschaffenburg;Julie F. Coleman;Shelby;6;KG;3
6;Lonzee;Keith I. Harding;Leah;7;KG;7
65;King's Lynn;Berk L. Wilcox;Montana;3;KG;1
24;Santander;Julie K. Callahan;Yvette;3;KG;5
69;Sambhal;Cassandra W. Kelly;Jemima;7;KG;2
43;San Bernardo;Shelly F. Alvarez;Leandra;7;KG;6
43;Fontanellato;Gay Q. Mcclure;Amelia;8;KG;3
34;Okotoks;Odette Q. Kerr;Dominique;10;KG;8
4;Arauco;Isabelle D. Hammond;Joy;1;KG;7
5;Surbo;Harper Y. Harding;Nelle;8;KG;6
22;Cap-Saint-Ignace;Thomas O. Donovan;September;9;KG;4
31;Lake Cowichan;Lucius U. Walters;Courtney;2;KG;10
39;Ragogna;Paul A. Beasley;Ivy;4;KG;10
86;Nocciano;Halee U. Rush;Daphne;10;KG;9
98;Quellón;Griffin M. Buchanan;Mary;5;KG;2
13;Pitt Meadows;Halee J. Ayers;Skyler;6;KG;8
27;Oswestry;Thaddeus X. Benton;India;9;KG;10
42;Sabadell;Stephanie L. Hamilton;Jescie;9;KG;9
77;Santa Cesarea Terme;Zorita P. Perez;Alisa;6;KG;3
8;San Pedro de la Paz;Zelda S. Hutchinson;Cassidy;8;KG;5
61;Prestatyn;Harriet B. Estrada;Sheila;7;KG;7
52;Sant'Elpidio a Mare;Ivor I. Rhodes;Sigourney;4;KG;3
49;Busso;Ginger L. Ruiz;Chiquita;3;KG;4
72;Tracadie-Shelia;Victoria E. Curtis;Montana;2;KG;2
51;Welland;Jena N. Carrillo;Jorden;1;KG;8
73;Gols;Dakota N. Irwin;Miranda;10;KG;6
28;Cras-Avernas;Drake Z. Kidd;Ifeoma;8;KG;5
91;Las Cabras;Hedy J. Myers;Shannon;9;KG;8
57;Mellery;Rina R. Herring;Lenore;4;KG;8
94;Asbestos;Jeanette Q. Santana;Shellie;4;KG;1
58;Dipignano;Noel R. Hays;Kalia;1;KG;7
53;Annan;Adara U. Clark;Adrienne;7;KG;4
35;Beauvechain;Colt P. Long;Bo;7;KG;3
36;St. Asaph;Aimee X. Park;Xandra;3;KG;1
23;Kaaskerke;Nomlanga H. Patton;Kyra;10;KG;5
91;Pedro Aguirre Cerda;Nicholas K. Wiggins;Hayfa;3;KG;7
54;Oldenzaal;Xyla J. White;Rae;7;KG;1
75;Putre;Selma R. Wyatt;Fredericka;6;KG;10
80;San Vicente;Joshua I. Marsh;Karleigh;5;KG;7
58;Koersel;Karen Z. Barrett;Vera;6;KG;4
36;Brodick;Nehru Y. Guy;Kirestin;8;KG;4
61;Hulste;Ciara S. Parsons;Ebony;9;KG;9
93;Arvier;Nathaniel K. Hopkins;Kylan;9;KG;10
7;Diadema;Marshall R. Houston;Jessamine;8;KG;10
20;Tirupati;Gabriel E. Nunez;Nell;3;KG;3
68;Coquitlam;Molly W. Garza;Bree;6;KG;5
94;Grasse;Dominique S. Case;Juliet;7;KG;1
77;Nova Iguaçu;Kristen O. Holloway;Jenna;4;KG;10
60;Liévin;Quinlan I. Cameron;Beatrice;6;KG;5
32;Sterling Heights;Venus Y. Gallegos;Dana;10;KG;3
89;Frederick;Abel M. Tanner;Kelsey;2;KG;3
11;Dover;Blaine H. Kaufman;Brynn;6;KG;7
53;Iqaluit;Abbot R. Christensen;Kimberley;3;KG;5
8;Jhelum;Tatum F. Bass;Nichole;10;KG;6
74;Wilhelmshaven;Ashton M. Ellis;Diana;4;KG;9
64;Newport;Nicole Y. Phelps;Jessica;9;KG;9
85;Montoggio;Jorden D. Dyer;Fatima;2;KG;7
40;Antalya;Erich A. Mccarty;Dora;8;KG;3
9;Santa Rita;Candice V. Larson;Shoshana;8;KG;1
82;Soma;Mercedes Y. Duncan;Inez;9;KG;7
17;Rhemes-Saint-Georges;Willa N. Boyer;Aretha;8;KG;7
78;Nothomb;Griffin T. Valdez;Shannon;10;KG;8
99;Castel Ritaldi;Allegra Q. Baxter;Vielka;7;KG;5
64;Ohain;Christen E. Le;Echo;3;KG;8
25;Dion-Valmont;Quemby U. Hill;Aline;3;KG;5
95;San Jose;Rooney C. Stanton;Oprah;1;KG;2
13;Villa Santo Stefano;Indira S. Nolan;Naomi;5;KG;8
16;Gagliato;Rigel P. Grant;Natalie;2;KG;3
27;Inverbervie;Colette G. Sandoval;Wynne;10;KG;10
88;Doetinchem;Ray N. Brady;Jada;6;KG;8
63;Raurkela;Jocelyn I. Morse;Cassady;2;KG;3
4;Ávila;Teegan V. Mckenzie;Kylee;3;KG;8
26;Gliwice;Jacob P. Manning;Alexa;5;KG;4
46;Lethbridge;Steven Q. Sampson;Florence;4;KG;9
36;Golspie;Charde L. Howard;Amity;5;KG;8
50;Habay-la-Vieille;Nasim A. Sharpe;Xerxes;10;KG;5
44;Hawera;Brock B. Rosario;Tamekah;1;KG;2
89;Schwäbisch Gmünd;Iola U. Wooten;Leila;9;KG;2
75;Bellevue;Maia W. Barrera;Kendall;7;KG;2
9;Maisires;Brittany W. Hanson;Gisela;1;KG;1
14;Märsta;Brynn E. Fulton;Candace;9;KG;7
16;Oviedo;Louis L. Dickson;Angelica;4;KG;1
15;Terrance;Samuel P. Freeman;Keely;9;KG;9
89;Clare;Hector P. Kim;Paloma;3;KG;7
77;Bloomington;Nissim O. Kidd;Colleen;3;KG;7
90;Borghetto di Borbera;Rhonda Y. Wall;Mia;1;KG;10
12;Evansville;Abigail G. Sheppard;Lillith;4;KG;10
88;Houtain-le-Val;Lev P. Williams;Mechelle;2;KG;4
51;Trivigno;Hall T. Little;Donna;9;KG;2
